customer_id,company_name,industry,company_size,country,signup_date,account_owner
1,"Rodriguez, Figueroa and Sanchez",Technology,Startup,United States,2024-12-05,Bob Smith
2,Doyle Ltd,Education,Startup,United Kingdom,2025-01-11,Alice Johnson
3,"Mcclain, Miller and Henderson",Technology,SMB,Canada,2022-12-04,Grace Chen
4,Davis and Sons,Finance,Mid-Market,United States,2023-07-19,Carol Williams
5,"Guzman, Hoffman and Baldwin",Healthcare,Startup,Japan,2025-02-01,Frank Lee
6,"Gardner, Robinson and Lawrence",Healthcare,Startup,United States,2022-12-23,Eva Martinez
7,Blake and Sons,Retail,SMB,Netherlands,2025-05-15,Grace Chen
8,"Henderson, Ramirez and Lewis",Technology,SMB,Brazil,2022-11-01,Frank Lee
9,Garcia-James,Retail,Startup,United States,2024-10-03,Eva Martinez
10,Abbott-Munoz,Education,Mid-Market,United States,2025-10-18,Henry Wilson
11,Blair PLC,Healthcare,Startup,United States,2024-12-02,Eva Martinez
12,Dudley Group,Retail,Startup,Germany,2025-02-05,David Brown
13,Arnold Ltd,Healthcare,Enterprise,Germany,2023-04-17,David Brown
14,"Mcclure, Ward and Lee",Education,Mid-Market,United States,2025-01-19,Alice Johnson
15,Williams and Sons,Healthcare,Startup,Japan,2025-05-13,Frank Lee
16,Galloway-Wyatt,Finance,Mid-Market,Germany,2023-07-07,Carol Williams
17,James Group,Technology,SMB,United States,2023-09-23,Grace Chen
18,"Flowers, Martin and Kelly",Healthcare,Startup,Netherlands,2025-08-04,Henry Wilson
19,"Adams, Zuniga and Wong",Technology,Startup,Germany,2022-11-28,Grace Chen
20,"Reid, Ferguson and Sanchez",Healthcare,SMB,United Kingdom,2024-10-22,Eva Martinez
21,Gray-Mayo,Education,Startup,Australia,2025-10-06,Eva Martinez
22,"Watts, Robinson and Nguyen",Healthcare,Startup,United States,2025-04-09,Alice Johnson
23,Perez Inc,Education,Startup,United Kingdom,2025-09-21,Carol Williams
24,Morales-Jones,Technology,SMB,India,2024-07-20,David Brown
25,"Walter, Edwards and Rios",Retail,SMB,France,2023-03-30,Alice Johnson
26,Wilkerson-Day,Finance,Startup,United States,2024-10-25,Eva Martinez
27,Baker and Sons,Technology,SMB,United States,2023-08-17,Henry Wilson
28,"Hoffman, Baker and Richards",Manufacturing,SMB,United States,2025-05-23,Henry Wilson
29,"Ross, Robinson and Bright",Technology,SMB,Germany,2025-09-15,David Brown
30,"Snyder, Campos and Callahan",Retail,SMB,Australia,2025-08-31,Grace Chen
31,Burton Ltd,Finance,SMB,United Kingdom,2025-10-26,Bob Smith
32,Carlson-Cruz,Technology,Startup,Canada,2023-08-29,David Brown
33,"Ferrell, Rice and Maddox",Retail,Startup,United States,2022-03-14,Alice Johnson
34,Frazier Inc,Technology,Startup,Germany,2025-07-01,David Brown
35,"Dyer, Potter and Mack",Retail,Mid-Market,Canada,2024-08-23,David Brown
36,Rodriguez-Graham,Education,Startup,United States,2025-04-24,Grace Chen
37,Smith-Bowen,Healthcare,Mid-Market,United States,2024-01-21,Bob Smith
38,"Baker, Mason and White",Retail,Mid-Market,United States,2022-09-18,David Brown
39,Harrell LLC,Healthcare,SMB,United States,2023-06-01,David Brown
40,"Romero, Gonzalez and Brooks",Technology,Mid-Market,India,2025-07-14,Bob Smith
41,Ryan PLC,Manufacturing,Mid-Market,Netherlands,2022-08-22,David Brown
42,George Group,Finance,Startup,United Kingdom,2023-04-22,Alice Johnson
43,Rodriguez LLC,Technology,Startup,Japan,2023-04-19,Henry Wilson
44,Allen-Allen,Retail,Mid-Market,France,2023-10-22,Henry Wilson
45,"Arroyo, Miller and Tucker",Technology,Enterprise,Canada,2023-04-02,Alice Johnson
46,Spence PLC,Technology,SMB,United Kingdom,2025-03-21,Carol Williams
47,Anderson Group,Finance,Mid-Market,United States,2022-09-08,Bob Smith
48,"Martin, Rose and Obrien",Technology,Startup,Brazil,2025-01-10,David Brown
49,Hickman Ltd,Technology,Startup,Germany,2024-10-04,Frank Lee
50,"Harris, Collins and Carney",Technology,Mid-Market,United States,2025-09-05,Grace Chen
51,"Brooks, Lam and Hayes",Finance,SMB,Japan,2023-02-17,Bob Smith
52,Walker LLC,Finance,SMB,United States,2022-03-26,David Brown
53,Chapman and Sons,Technology,Startup,United States,2024-07-18,David Brown
54,"Robinson, Jones and Welch",Technology,Mid-Market,Australia,2024-02-09,Alice Johnson
55,Jones Inc,Finance,Enterprise,United States,2025-01-03,Carol Williams
