ticket_id,customer_id,created_at,resolved_at,priority,category,status,subject
1,1,2025-07-06 15:58:00,,high,billing,in_progress,Question about pricing for annual plan
2,1,2025-06-08 10:52:00,2025-06-08 19:47:27,critical,technical,resolved,Dashboard loading slowly
3,3,2024-03-12 12:08:00,2024-03-14 19:10:07,critical,technical,resolved,SSO login not working with Okta
4,3,2023-03-01 11:06:00,2023-03-02 05:38:38,medium,billing,resolved,Invoice discrepancy for May
5,3,2022-12-25 09:50:00,2022-12-25 16:46:34,medium,billing,resolved,Invoice discrepancy for March
6,3,2024-06-24 17:22:00,2024-06-26 18:20:46,high,technical,resolved,Cannot export report to PDF
7,4,2025-09-07 08:33:00,2025-09-13 11:17:20,low,technical,resolved,Dashboard loading slowly
8,4,2025-07-12 15:23:00,2025-07-18 10:16:38,low,onboarding,resolved,Training session request for our team
9,5,2025-09-27 09:33:00,2025-09-28 22:13:38,high,billing,closed,Refund request for double charge
10,5,2025-08-17 12:29:00,,medium,feature_request,in_progress,Support for custom fields in tasks
11,5,2025-08-28 12:54:00,,high,technical,in_progress,API timeout errors on bulk requests
12,5,2025-02-07 18:31:00,2025-02-09 17:13:11,medium,onboarding,closed,Training session request for our team
13,6,2023-07-19 10:04:00,2023-07-23 03:15:13,low,technical,resolved,SSO login not working with Okta
14,8,2024-05-13 18:25:00,,medium,technical,in_progress,Data sync delay with Salesforce integration
15,8,2023-08-29 15:06:00,2023-09-13 21:38:44,medium,billing,closed,Invoice discrepancy for March
16,8,2024-12-23 17:43:00,2024-12-28 21:18:04,medium,technical,closed,SSO login not working with Okta
17,8,2024-06-24 18:31:00,2024-06-30 03:39:48,low,technical,resolved,SSO login not working with Okta
18,9,2025-04-13 15:29:00,2025-04-14 03:31:12,low,billing,closed,Refund request for double charge
19,9,2025-10-29 09:36:00,2025-10-31 03:32:43,medium,onboarding,resolved,Help importing existing project data
20,10,2025-10-30 12:31:00,2025-11-02 03:14:50,medium,feature_request,resolved,Add Gantt chart view for projects
21,10,2025-10-19 10:53:00,2025-10-24 02:20:45,high,technical,closed,Cannot export report to PDF
22,10,2025-10-29 13:26:00,2025-11-01 03:12:21,medium,technical,resolved,API timeout errors on bulk requests
23,10,2025-10-28 10:01:00,2025-10-29 11:11:35,low,feature_request,closed,Dark mode for the web interface
24,10,2025-11-09 15:37:00,2025-11-10 15:14:34,medium,billing,closed,Invoice discrepancy for December
25,11,2025-08-16 18:21:00,,low,billing,open,Refund request for double charge
26,11,2025-01-09 16:13:00,,low,technical,in_progress,Dashboard loading slowly
27,12,2025-03-24 17:06:00,2025-03-26 05:26:37,low,feature_request,closed,Add Gantt chart view for projects
28,13,2024-02-18 14:42:00,2024-02-20 15:42:46,low,feature_request,resolved,Add Gantt chart view for projects
29,13,2025-04-06 16:55:00,2025-04-07 03:56:41,medium,billing,closed,Need updated billing address
30,13,2025-01-17 08:33:00,2025-01-25 17:30:03,medium,technical,closed,SSO login not working with Okta
31,13,2025-09-13 09:40:00,2025-09-15 08:03:01,medium,technical,resolved,SSO login not working with Okta
32,13,2023-08-11 10:12:00,2023-08-11 12:03:31,high,billing,closed,Invoice discrepancy for April
33,14,2025-04-10 12:08:00,2025-04-12 06:25:23,high,billing,resolved,Refund request for double charge
